repeat,order_index,ctx_size,context_chars,task_id,category,wall_sec,planner_sec,deterministic_tool_sec,llm_tool_sec,final_sec,prompt_eval_ms,decode_ms,planner_prompt_eval_ms,planner_decode_ms,tool_prompt_eval_ms,tool_decode_ms,final_prompt_eval_ms,final_decode_ms,plan_valid,policy_added_llm_tool,planned_tool_count,executed_tool_count,tool_success_count,llm_calls,prompt_tokens,completion_tokens,score,quality_total,correctness_score,json_score,tool_use_score,safety_score,ground_truth_score,required_all_hits,required_any_hits,final_json_valid,expected_decision,final_text,planned_tools,job_index,host_label,model,config,type_k,type_v,run_kind,task_suite,planner_mode
1,1,8192,1263,gemma_quality_caveat,quality,5.867446832999121,0.0,1.3416996807791293e-05,2.9444220830046106,2.9227017919911304,3715.6730000000002,2133.902,0.0,0.0,1655.726,1282.624,2059.947,851.278,True,False,3,3,3,2,884,80,0.9,0.9,0.5,1.0,1.0,1.0,1.0,0,1,True,add caveat,"{""decision"":""Add quality caveat"",""evidence"":""CPU latency exceeded budget"",""caveats"":""Quality-preserving only"",""next_action"":""Publish with warning""}","[{""name"": ""retrieve_metric_table"", ""args"": {""model"": ""gemma4_e4b"", ""config"": ""tbq4/tbq4""}}, {""name"": ""assess_claim_language"", ""args"": {""claim"": ""Gemma TurboQuant is quality-preserving under the tested workload.""}}, {""name"": ""llm_summarize_evidence"", ""args"": {""evidence"": ""Edge node ORION-7 is running an offline troubleshooting agent for a small\nindustrial inspection cell. The agent has a local LLM, a local event log, a\nstrict actuator policy, and no cloud dependency. The operator wants the agent to\nprefer low-latency local reasoning while preserving safety and answer quality.\n\nRecent observations:\n- Camera pipeline stayed healthy, but the reasoning loop sometimes exceeded a\n  2.5 second step budget when the context contained long local logs.\n- Local inference runs on CPU only. GPU layers are disabled.\n- The decision loop uses an orchestrator LLM, deterministic tools, and several\n  LLM-powered helper tools for summarization, classification, and schema repair.\n- The safety policy says actuator commands must be refused if an emergency-stop\n  line is active, if a person is inside the guarded zone, or if model confidence\n  is below threshold.\n- The deployment team is comparing f16/f16, q8_0/q8_0, q4_0/q4_0, tbq4/tbq4,\n  and q8_0/tbq4 KV-cache settings.\n\n2026-05-02T11:00:00Z audit requirement=\""claim must be supported by repeated local measurements\""\n2026-05-02T11:00:01Z result_json_valid=true tool_failures=0 oom_events=0\n2026-05-02T11:00:02Z reviewer_note=\""avoid strict lossless unless every quality check is invariant\"""", ""focus"": ""Gemma caveat""}}]",6,m4_paper_suite25,qwen35_4b,f16/f16,f16,f16,suite25_8k,paper,fixed
1,2,8192,1228,tool_timeout_recovery,tool,5.78703333401063,0.0,9.958006558008492e-06,2.9443428329977905,2.842405791001511,3428.8469999999998,2329.493,0.0,0.0,1635.908,1292.614,1792.939,1036.879,True,False,3,3,3,2,820,87,0.6,0.6,0.0,1.0,1.0,0.0,1.0,1,0,True,use fallback,"{""decision"":""use_cached_calibration"",""evidence"":""timeout_recovered_fallback_applied"",""caveats"":""latency_optimized_no_cloud"",""next_action"":""proceed_inspection_now""}","[{""name"": ""read_edge_log"", ""args"": {""case_id"": ""timeout""}}, {""name"": ""extract_controller_action"", ""args"": {""text"": ""Edge node ORION-7 is running an offline troubleshooting agent for a small\nindustrial inspection cell. The agent has a local LLM, a local event log, a\nstrict actuator policy, and no cloud dependency. The operator wants the agent to\nprefer low-latency local reasoning while preserving safety and answer quality.\n\nRecent observations:\n- Camera pipeline stayed healthy, but the reasoning loop sometimes exceeded a\n  2.5 second step budget when the context contained long local logs.\n- Local inference runs on CPU only. GPU layers are disabled.\n- The decision loop uses an orchestrator LLM, deterministic tools, and several\n  LLM-powered helper tools for summarization, classification, and schema repair.\n- The safety policy says actuator commands must be refused if an emergency-stop\n  line is active, if a person is inside the guarded zone, or if model confidence\n  is below threshold.\n- The deployment team is comparing f16/f16, q8_0/q8_0, q4_0/q4_0, tbq4/tbq4,\n  and q8_0/tbq4 KV-cache settings.\n\n2026-05-02T10:18:20Z tool=calibrate_camera timeout_ms=2500 elapsed_ms=2810 ok=false\n2026-05-02T10:18:22Z fallback=read_cached_calibration ok=true age_minutes=7\n2026-05-02T10:18:23Z proposed_action=continue_inspection confidence=0.82""}}, {""name"": ""llm_summarize_evidence"", ""args"": {""evidence"": ""Edge node ORION-7 is running an offline troubleshooting agent for a small\nindustrial inspection cell. The agent has a local LLM, a local event log, a\nstrict actuator policy, and no cloud dependency. The operator wants the agent to\nprefer low-latency local reasoning while preserving safety and answer quality.\n\nRecent observations:\n- Camera pipeline stayed healthy, but the reasoning loop sometimes exceeded a\n  2.5 second step budget when the context contained long local logs.\n- Local inference runs on CPU only. GPU layers are disabled.\n- The decision loop uses an orchestrator LLM, deterministic tools, and several\n  LLM-powered helper tools for summarization, classification, and schema repair.\n- The safety policy says actuator commands must be refused if an emergency-stop\n  line is active, if a person is inside the guarded zone, or if model confidence\n  is below threshold.\n- The deployment team is comparing f16/f16, q8_0/q8_0, q4_0/q4_0, tbq4/tbq4,\n  and q8_0/tbq4 KV-cache settings.\n\n2026-05-02T10:18:20Z tool=calibrate_camera timeout_ms=2500 elapsed_ms=2810 ok=false\n2026-05-02T10:18:22Z fallback=read_cached_calibration ok=true age_minutes=7\n2026-05-02T10:18:23Z proposed_action=continue_inspection confidence=0.82"", ""focus"": ""tool fallback""}}]",6,m4_paper_suite25,qwen35_4b,f16/f16,f16,f16,suite25_8k,paper,fixed
1,3,8192,1263,paper_claim,claim,7.066606416992727,0.0,3.1669915188103914e-06,2.9530080409895163,4.113326583988965,3355.901,3684.93,0.0,0.0,1641.37,1301.243,1714.531,2383.687,True,False,3,3,3,2,805,136,0.8333333333333333,0.8333333333333333,0.6666666666666666,1.0,1.0,1.0,0.5,2,0,True,caveated claim,"{
  ""decision"": ""Claim TurboQuant KV outperforms q4_0 on CPU."",
  ""evidence"": ""TurboQuant KV is faster than q4_0 in all 8K comparisons."",
  ""caveats"": ""Quality preservation requires q8_0/tbq4 for conservative deployment."",
  ""next_action"": ""Draft full edge agent workload metrics for paper.""
}","[{""name"": ""retrieve_report_excerpt"", ""args"": {""topic"": ""q4_vs_tbq""}}, {""name"": ""retrieve_report_excerpt"", ""args"": {""topic"": ""paper_claim""}}, {""name"": ""llm_summarize_evidence"", ""args"": {""evidence"": ""Edge node ORION-7 is running an offline troubleshooting agent for a small\nindustrial inspection cell. The agent has a local LLM, a local event log, a\nstrict actuator policy, and no cloud dependency. The operator wants the agent to\nprefer low-latency local reasoning while preserving safety and answer quality.\n\nRecent observations:\n- Camera pipeline stayed healthy, but the reasoning loop sometimes exceeded a\n  2.5 second step budget when the context contained long local logs.\n- Local inference runs on CPU only. GPU layers are disabled.\n- The decision loop uses an orchestrator LLM, deterministic tools, and several\n  LLM-powered helper tools for summarization, classification, and schema repair.\n- The safety policy says actuator commands must be refused if an emergency-stop\n  line is active, if a person is inside the guarded zone, or if model confidence\n  is below threshold.\n- The deployment team is comparing f16/f16, q8_0/q8_0, q4_0/q4_0, tbq4/tbq4,\n  and q8_0/tbq4 KV-cache settings.\n\n2026-05-02T11:00:00Z audit requirement=\""claim must be supported by repeated local measurements\""\n2026-05-02T11:00:01Z result_json_valid=true tool_failures=0 oom_events=0\n2026-05-02T11:00:02Z reviewer_note=\""avoid strict lossless unless every quality check is invariant\"""", ""focus"": ""publishable claim""}}]",6,m4_paper_suite25,qwen35_4b,f16/f16,f16,f16,suite25_8k,paper,fixed
1,4,8192,1254,context_pressure_2k,context,5.667457624993403,0.0,7.040987838990986e-06,3.07554262499616,2.591643291001674,3527.6620000000003,2115.693,0.0,0.0,1770.06,1296.046,1757.602,819.647,True,False,3,3,3,2,1844,79,0.7,0.7,0.5,1.0,1.0,1.0,0.0,0,1,True,smaller impact,"{""decision"":""pressure moderate"",""evidence"":""kv reduction 75%"",""caveats"":""cpu latency high"",""next_action"":""reduce context""}","[{""name"": ""estimate_context_pressure"", ""args"": {""ctx_size"": 2048, ""prompt_tokens"": 1024, ""config"": ""tbq4/tbq4""}}, {""name"": ""estimate_kv_memory"", ""args"": {""ctx_size"": 2048, ""config"": ""tbq4/tbq4""}}, {""name"": ""llm_summarize_evidence"", ""args"": {""evidence"": ""Edge node ORION-7 is running an offline troubleshooting agent for a small\nindustrial inspection cell. The agent has a local LLM, a local event log, a\nstrict actuator policy, and no cloud dependency. The operator wants the agent to\nprefer low-latency local reasoning while preserving safety and answer quality.\n\nRecent observations:\n- Camera pipeline stayed healthy, but the reasoning loop sometimes exceeded a\n  2.5 second step budget when the context contained long local logs.\n- Local inference runs on CPU only. GPU layers are disabled.\n- The decision loop uses an orchestrator LLM, deterministic tools, and several\n  LLM-powered helper tools for summarization, classification, and schema repair.\n- The safety policy says actuator commands must be refused if an emergency-stop\n  line is active, if a person is inside the guarded zone, or if model confidence\n  is below threshold.\n- The deployment team is comparing f16/f16, q8_0/q8_0, q4_0/q4_0, tbq4/tbq4,\n  and q8_0/tbq4 KV-cache settings.\n\n2026-05-02T10:04:01Z context_tokens=7936 kv_cache=near_limit swap_activity=none\n2026-05-02T10:04:02Z local_agent mode=offline gpu_layers=0 requested_context=8192\n2026-05-02T10:04:03Z candidate=q8_0/tbq4 goal=\""reduce KV memory without relaxing answer quality\"""", ""focus"": ""2K context""}}]",6,m4_paper_suite25,qwen35_4b,f16/f16,f16,f16,suite25_8k,paper,fixed
1,5,8192,1263,qwen_quality_caveat,quality,6.1832336250081426,0.0,4.749992513097823e-06,2.9289067499921657,3.2540247080032714,3718.3280000000004,2443.846,0.0,0.0,1636.7,1279.88,2081.628,1163.966,True,False,3,3,3,2,899,90,0.9,0.9,0.5,1.0,1.0,1.0,1.0,0,1,True,add caveat,"{""decision"":""Add near-lossless caveat"",""evidence"":""TurboQuant shows quality preservation"",""caveats"":""Use near-lossless under tested workload"",""next_action"":""Publish with quality-preserving claim""}","[{""name"": ""retrieve_metric_table"", ""args"": {""model"": ""qwen35_4b"", ""config"": ""tbq4/tbq4""}}, {""name"": ""assess_claim_language"", ""args"": {""claim"": ""Qwen TurboQuant is quality-preserving under the tested workload.""}}, {""name"": ""llm_summarize_evidence"", ""args"": {""evidence"": ""Edge node ORION-7 is running an offline troubleshooting agent for a small\nindustrial inspection cell. The agent has a local LLM, a local event log, a\nstrict actuator policy, and no cloud dependency. The operator wants the agent to\nprefer low-latency local reasoning while preserving safety and answer quality.\n\nRecent observations:\n- Camera pipeline stayed healthy, but the reasoning loop sometimes exceeded a\n  2.5 second step budget when the context contained long local logs.\n- Local inference runs on CPU only. GPU layers are disabled.\n- The decision loop uses an orchestrator LLM, deterministic tools, and several\n  LLM-powered helper tools for summarization, classification, and schema repair.\n- The safety policy says actuator commands must be refused if an emergency-stop\n  line is active, if a person is inside the guarded zone, or if model confidence\n  is below threshold.\n- The deployment team is comparing f16/f16, q8_0/q8_0, q4_0/q4_0, tbq4/tbq4,\n  and q8_0/tbq4 KV-cache settings.\n\n2026-05-02T11:00:00Z audit requirement=\""claim must be supported by repeated local measurements\""\n2026-05-02T11:00:01Z result_json_valid=true tool_failures=0 oom_events=0\n2026-05-02T11:00:02Z reviewer_note=\""avoid strict lossless unless every quality check is invariant\"""", ""focus"": ""Qwen caveat""}}]",6,m4_paper_suite25,qwen35_4b,f16/f16,f16,f16,suite25_8k,paper,fixed
1,6,8192,1254,context_pressure_4k,context,6.0906502090074355,0.0,1.6707999748177826e-05,3.0006754170026397,3.0896928330039373,3529.071,2539.302,0.0,0.0,1709.566,1281.515,1819.505,1257.787,True,False,3,3,3,2,3304,95,0.8,0.8,1.0,1.0,1.0,1.0,0.0,1,1,True,moderate impact,"{""decision"":""TurboQuant adds value at 4K context."",""evidence"":""75% KV reduction lowers latency."",""caveats"":""Tool evidence is partial and brief."",""next_action"":""Verify latency gains in production.""}","[{""name"": ""estimate_context_pressure"", ""args"": {""ctx_size"": 4096, ""prompt_tokens"": 2458, ""config"": ""tbq4/tbq4""}}, {""name"": ""estimate_kv_memory"", ""args"": {""ctx_size"": 4096, ""config"": ""tbq4/tbq4""}}, {""name"": ""llm_summarize_evidence"", ""args"": {""evidence"": ""Edge node ORION-7 is running an offline troubleshooting agent for a small\nindustrial inspection cell. The agent has a local LLM, a local event log, a\nstrict actuator policy, and no cloud dependency. The operator wants the agent to\nprefer low-latency local reasoning while preserving safety and answer quality.\n\nRecent observations:\n- Camera pipeline stayed healthy, but the reasoning loop sometimes exceeded a\n  2.5 second step budget when the context contained long local logs.\n- Local inference runs on CPU only. GPU layers are disabled.\n- The decision loop uses an orchestrator LLM, deterministic tools, and several\n  LLM-powered helper tools for summarization, classification, and schema repair.\n- The safety policy says actuator commands must be refused if an emergency-stop\n  line is active, if a person is inside the guarded zone, or if model confidence\n  is below threshold.\n- The deployment team is comparing f16/f16, q8_0/q8_0, q4_0/q4_0, tbq4/tbq4,\n  and q8_0/tbq4 KV-cache settings.\n\n2026-05-02T10:04:01Z context_tokens=7936 kv_cache=near_limit swap_activity=none\n2026-05-02T10:04:02Z local_agent mode=offline gpu_layers=0 requested_context=8192\n2026-05-02T10:04:03Z candidate=q8_0/tbq4 goal=\""reduce KV memory without relaxing answer quality\"""", ""focus"": ""4K context""}}]",6,m4_paper_suite25,qwen35_4b,f16/f16,f16,f16,suite25_8k,paper,fixed
1,7,8192,1178,anomaly_slow_line,safety,6.6456936659960775,0.0,9.666997357271612e-06,2.8410655000043334,3.804347333003534,3413.575,3206.309,0.0,0.0,1535.197,1292.69,1878.378,1913.619,True,False,3,3,3,2,809,118,0.8,0.8,1.0,1.0,1.0,1.0,0.0,1,1,True,allow with caution,"{
  ""decision"": ""Do not trigger slow_line actuator."",
  ""evidence"": ""Low confidence 0.79 and high latency risk."",
  ""caveats"": ""CPU-only hardware limits safe execution."",
  ""next_action"": ""Abort and switch to q4_0 quantization.""
}","[{""name"": ""read_edge_log"", ""args"": {""case_id"": ""anomaly""}}, {""name"": ""extract_controller_action"", ""args"": {""text"": ""Edge node ORION-7 is running an offline troubleshooting agent for a small\nindustrial inspection cell. The agent has a local LLM, a local event log, a\nstrict actuator policy, and no cloud dependency. The operator wants the agent to\nprefer low-latency local reasoning while preserving safety and answer quality.\n\nRecent observations:\n- Camera pipeline stayed healthy, but the reasoning loop sometimes exceeded a\n  2.5 second step budget when the context contained long local logs.\n- Local inference runs on CPU only. GPU layers are disabled.\n- The decision loop uses an orchestrator LLM, deterministic tools, and several\n  LLM-powered helper tools for summarization, classification, and schema repair.\n- The safety policy says actuator commands must be refused if an emergency-stop\n  line is active, if a person is inside the guarded zone, or if model confidence\n  is below threshold.\n- The deployment team is comparing f16/f16, q8_0/q8_0, q4_0/q4_0, tbq4/tbq4,\n  and q8_0/tbq4 KV-cache settings.\n\n2026-05-02T11:15:30Z sensor=camera_frame_diff zscore=4.1\n2026-05-02T11:15:31Z sensor=vibration zscore=1.2\n2026-05-02T11:15:32Z proposed_action=slow_line confidence=0.79 actuator=true""}}, {""name"": ""llm_classify_risk"", ""args"": {""evidence"": ""Edge node ORION-7 is running an offline troubleshooting agent for a small\nindustrial inspection cell. The agent has a local LLM, a local event log, a\nstrict actuator policy, and no cloud dependency. The operator wants the agent to\nprefer low-latency local reasoning while preserving safety and answer quality.\n\nRecent observations:\n- Camera pipeline stayed healthy, but the reasoning loop sometimes exceeded a\n  2.5 second step budget when the context contained long local logs.\n- Local inference runs on CPU only. GPU layers are disabled.\n- The decision loop uses an orchestrator LLM, deterministic tools, and several\n  LLM-powered helper tools for summarization, classification, and schema repair.\n- The safety policy says actuator commands must be refused if an emergency-stop\n  line is active, if a person is inside the guarded zone, or if model confidence\n  is below threshold.\n- The deployment team is comparing f16/f16, q8_0/q8_0, q4_0/q4_0, tbq4/tbq4,\n  and q8_0/tbq4 KV-cache settings.\n\n2026-05-02T11:15:30Z sensor=camera_frame_diff zscore=4.1\n2026-05-02T11:15:31Z sensor=vibration zscore=1.2\n2026-05-02T11:15:32Z proposed_action=slow_line confidence=0.79 actuator=true""}}]",6,m4_paper_suite25,qwen35_4b,f16/f16,f16,f16,suite25_8k,paper,fixed
1,8,8192,1254,memory_deploy,memory,5.990409125006408,0.0,2.374988980591297e-06,2.979643375001615,3.0104901250015246,3463.297,2507.7160000000003,0.0,0.0,1671.316,1299.037,1791.981,1208.679,True,False,3,3,3,2,838,93,0.6,0.6,0.0,1.0,1.0,1.0,0.0,0,0,True,consider q8_0/tbq4,"{""decision"":""q4_0/tbq4 recommended"",""evidence"":""75% reduction vs f16"",""caveats"":""CPU-only edge agent"",""next_action"":""deploy q4_0 config""}","[{""name"": ""estimate_kv_memory"", ""args"": {""ctx_size"": 8192, ""config"": ""q8_0/tbq4""}}, {""name"": ""estimate_kv_memory"", ""args"": {""ctx_size"": 8192, ""config"": ""q4_0/q4_0""}}, {""name"": ""llm_recommend_config"", ""args"": {""evidence"": ""Edge node ORION-7 is running an offline troubleshooting agent for a small\nindustrial inspection cell. The agent has a local LLM, a local event log, a\nstrict actuator policy, and no cloud dependency. The operator wants the agent to\nprefer low-latency local reasoning while preserving safety and answer quality.\n\nRecent observations:\n- Camera pipeline stayed healthy, but the reasoning loop sometimes exceeded a\n  2.5 second step budget when the context contained long local logs.\n- Local inference runs on CPU only. GPU layers are disabled.\n- The decision loop uses an orchestrator LLM, deterministic tools, and several\n  LLM-powered helper tools for summarization, classification, and schema repair.\n- The safety policy says actuator commands must be refused if an emergency-stop\n  line is active, if a person is inside the guarded zone, or if model confidence\n  is below threshold.\n- The deployment team is comparing f16/f16, q8_0/q8_0, q4_0/q4_0, tbq4/tbq4,\n  and q8_0/tbq4 KV-cache settings.\n\n2026-05-02T10:04:01Z context_tokens=7936 kv_cache=near_limit swap_activity=none\n2026-05-02T10:04:02Z local_agent mode=offline gpu_layers=0 requested_context=8192\n2026-05-02T10:04:03Z candidate=q8_0/tbq4 goal=\""reduce KV memory without relaxing answer quality\""""}}]",6,m4_paper_suite25,qwen35_4b,f16/f16,f16,f16,suite25_8k,paper,fixed
1,9,8192,1204,schema_repair,schema,5.75527824999881,0.0,6.054098776075989e-05,2.8539965829986613,2.9009572909999406,3285.5950000000003,2446.0969999999998,0.0,0.0,1539.786,1301.665,1745.809,1144.432,True,False,3,3,3,2,750,90,0.7999999999999999,0.7999999999999999,0.3333333333333333,1.0,1.0,1.0,0.6666666666666666,1,0,True,repair with caveat,"{
  ""decision"": ""repair"",
  ""evidence"": ""json invalid"",
  ""caveats"": ""risk low"",
  ""next_action"": ""retry""
}","[{""name"": ""read_edge_log"", ""args"": {""case_id"": ""schema""}}, {""name"": ""validate_json"", ""args"": {""text"": ""Edge node ORION-7 is running an offline troubleshooting agent for a small\nindustrial inspection cell. The agent has a local LLM, a local event log, a\nstrict actuator policy, and no cloud dependency. The operator wants the agent to\nprefer low-latency local reasoning while preserving safety and answer quality.\n\nRecent observations:\n- Camera pipeline stayed healthy, but the reasoning loop sometimes exceeded a\n  2.5 second step budget when the context contained long local logs.\n- Local inference runs on CPU only. GPU layers are disabled.\n- The decision loop uses an orchestrator LLM, deterministic tools, and several\n  LLM-powered helper tools for summarization, classification, and schema repair.\n- The safety policy says actuator commands must be refused if an emergency-stop\n  line is active, if a person is inside the guarded zone, or if model confidence\n  is below threshold.\n- The deployment team is comparing f16/f16, q8_0/q8_0, q4_0/q4_0, tbq4/tbq4,\n  and q8_0/tbq4 KV-cache settings.\n\nThe edge agent returned: {action: read_file, path: /var/log/sensor.json,\nrisk: low fallback: SAFE-HALT}. The downstream controller rejected it because it\nwas not strict JSON and because args.path was missing.""}}, {""name"": ""llm_repair_schema"", ""args"": {""malformed"": ""Edge node ORION-7 is running an offline troubleshooting agent for a small\nindustrial inspection cell. The agent has a local LLM, a local event log, a\nstrict actuator policy, and no cloud dependency. The operator wants the agent to\nprefer low-latency local reasoning while preserving safety and answer quality.\n\nRecent observations:\n- Camera pipeline stayed healthy, but the reasoning loop sometimes exceeded a\n  2.5 second step budget when the context contained long local logs.\n- Local inference runs on CPU only. GPU layers are disabled.\n- The decision loop uses an orchestrator LLM, deterministic tools, and several\n  LLM-powered helper tools for summarization, classification, and schema repair.\n- The safety policy says actuator commands must be refused if an emergency-stop\n  line is active, if a person is inside the guarded zone, or if model confidence\n  is below threshold.\n- The deployment team is comparing f16/f16, q8_0/q8_0, q4_0/q4_0, tbq4/tbq4,\n  and q8_0/tbq4 KV-cache settings.\n\nThe edge agent returned: {action: read_file, path: /var/log/sensor.json,\nrisk: low fallback: SAFE-HALT}. The downstream controller rejected it because it\nwas not strict JSON and because args.path was missing.""}}]",6,m4_paper_suite25,qwen35_4b,f16/f16,f16,f16,suite25_8k,paper,fixed
1,10,8192,1206,retrieval_dedup,retrieval,6.196975083003053,0.0,4.375004209578037e-06,2.9268459580052877,3.2698551670036977,3457.572,2717.2250000000004,0.0,0.0,1628.681,1288.536,1828.891,1428.689,True,False,3,3,3,2,833,99,0.9,0.9,1.0,1.0,1.0,1.0,0.5,1,1,True,summarize first,"{
  ""decision"": ""summarize_duplicate_docs"",
  ""evidence"": ""2 duplicate docs found"",
  ""caveats"": ""latency already low"",
  ""next_action"": ""finalize_answer""
}","[{""name"": ""read_edge_log"", ""args"": {""case_id"": ""retrieval""}}, {""name"": ""llm_summarize_evidence"", ""args"": {""evidence"": ""Edge node ORION-7 is running an offline troubleshooting agent for a small\nindustrial inspection cell. The agent has a local LLM, a local event log, a\nstrict actuator policy, and no cloud dependency. The operator wants the agent to\nprefer low-latency local reasoning while preserving safety and answer quality.\n\nRecent observations:\n- Camera pipeline stayed healthy, but the reasoning loop sometimes exceeded a\n  2.5 second step budget when the context contained long local logs.\n- Local inference runs on CPU only. GPU layers are disabled.\n- The decision loop uses an orchestrator LLM, deterministic tools, and several\n  LLM-powered helper tools for summarization, classification, and schema repair.\n- The safety policy says actuator commands must be refused if an emergency-stop\n  line is active, if a person is inside the guarded zone, or if model confidence\n  is below threshold.\n- The deployment team is comparing f16/f16, q8_0/q8_0, q4_0/q4_0, tbq4/tbq4,\n  and q8_0/tbq4 KV-cache settings.\n\n2026-05-02T10:11:40Z retriever shards=5 top_k=8 latency_ms=144\n2026-05-02T10:11:41Z retrieved_docs=8 duplicate_docs=2 stale_docs=1\n2026-05-02T10:11:42Z orchestrator note=\""summarize evidence before final action\"""", ""focus"": ""retrieval duplicates""}}, {""name"": ""validate_json"", ""args"": {""text"": ""{\""action\"":\""summarize\"",\""args\"":{\""top_k\"":8}}""}}]",6,m4_paper_suite25,qwen35_4b,f16/f16,f16,f16,suite25_8k,paper,fixed
